email,timestamp,product_name
daniel.henderson@fakemail.com,1671667684,grow_plus
whitney_wilson@fakemail.com,1673298830,grow_plus
logan_griffith@fakemail.com,1673565861,kenko_haru
martha_robinson@fakemail.com,1677714133,kenko_haru
alan_ellis@fakemail.com,1673891460,kenko_haru
evan.perry@fakemail.com,1673889204,grow_plus
benjamin.todd@fakemail.com,1672774842,grow_plus
lisa.cabrera@fakemail.com,1675277802,kenko_haru
michele_richardson@fakemail.com,1671585312,kenko_haru
lisa_ellis@fakemail.com,1673522644,kenko_haru
daniel_jones@fakemail.com,1673522683,grow_plus
lisa_wilson@fakemail.com,1673522747,grow_plus
michael.spears@fakemail.com,1673522812,kenko_haru
james.jensen@fakemail.com,1673522850,kenko_haru
nichole_roberts@fakemail.com,1673522880,kenko_haru
amy_jackson@fakemail.com,1673522964,grow_plus
daniel_dean@fakemail.com,1673523064,grow_plus
benjamin.garner@fakemail.com,1673523141,kenko_haru
craig_sanchez@fakemail.com,1673523217,kenko_haru
michael.bradley@fakemail.com,1673523295,kenko_haru
rachel_knight@fakemail.com,1673523315,grow_plus
barry_meyers@fakemail.com,1673523350,grow_plus
kimberly_perez@fakemail.com,1673523441,kenko_haru
shelly.stewart@fakemail.com,1673523515,kenko_haru
tanya_cooke@fakemail.com,1673523577,kenko_haru
stephanie.morales@fakemail.com,1673523614,grow_plus
ralph.gibbs@fakemail.com,1673523660,grow_plus
annette_robinson@fakemail.com,1673523721,kenko_haru
timothy.lowe@fakemail.com,1673523744,kenko_haru
sarah.underwood@fakemail.com,1673523804,kenko_haru
jodi_avery@fakemail.com,1673523902,grow_plus
misty.lambert@fakemail.com,1673523945,grow_plus
paul_tucker@fakemail.com,1673524025,kenko_haru
bethany.huff@fakemail.com,1673524105,kenko_haru
rita_martin@fakemail.com,1673524128,kenko_haru
jennifer.velasquez@fakemail.com,1673524192,grow_plus
